image_path,pano_id,stview_lat,stview_lng,tree_lat_model,tree_lng_model,tree_lat,tree_lng,image_x,image_y,theta,conf,distance_model,distance_pano
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view3_tree0_box1.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.71149032083206,76.8005542023462,30.71149032083206,76.8005542023462,5314.0,3674.0,-45,0.01674499548971653,9.695483884685068,9.695483884685068
/home/utkarsh/TreeInventorization/data/views/zXNDa-3To6LUVVwCusNXAg_view1_tree0_box1.jpg,zXNDa-3To6LUVVwCusNXAg,30.71139495991763,76.80048583426455,30.711372734326762,76.80035917880876,30.711372734326762,76.80035917880876,4261.0,3649.0,-75,0.010385550558567047,12.55394706499301,12.55394706499301
/home/utkarsh/TreeInventorization/data/views/zXNDa-3To6LUVVwCusNXAg_view12_tree0_box0.jpg,zXNDa-3To6LUVVwCusNXAg,30.71139495991763,76.80048583426455,30.711475667966212,76.80056261598708,30.711475667966212,76.80056261598708,9459.0,3791.0,90,0.029181716963648796,11.854073177267276,11.854073177267276
/home/utkarsh/TreeInventorization/data/views/hlkMNdzwvxFIRVw-FpqAPw_view0_tree0_box0.jpg,hlkMNdzwvxFIRVw-FpqAPw,30.71158385401806,76.80039288294195,30.711643515335318,76.80040748200697,30.711643515335318,76.80040748200697,1702.0,3901.0,-90,0.013503978960216045,6.9889103673169295,6.9889103673169295
/home/utkarsh/TreeInventorization/data/views/hlkMNdzwvxFIRVw-FpqAPw_view12_tree0_box0.jpg,hlkMNdzwvxFIRVw-FpqAPw,30.71158385401806,76.80039288294195,30.711553948256242,76.80025832348399,30.711553948256242,76.80025832348399,10738.0,3717.0,90,0.010950803756713867,13.663816535862063,13.663816535862063
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view0_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711374940196976,76.8003748818014,30.711374940196976,76.8003748818014,2137.0,3666.0,-90,0.010371788404881954,10.653839718046614,10.653839718046614
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view6_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.71149338202372,76.80040380976627,30.71149338202372,76.80040380976627,7292.0,4546.0,0,0.013221098110079765,4.238029179042036,4.238029179042036
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view12_tree0_box1.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711482110562073,76.8005500287898,30.711482110562073,76.8005500287898,10971.0,3784.0,90,0.012759764678776264,13.328475844728494,13.328475844728494
/home/utkarsh/TreeInventorization/data/views/ZhFIQ0X2ExZk-QZedpEOHw_view0_tree0_box1.jpg,ZhFIQ0X2ExZk-QZedpEOHw,30.71138386689704,76.80060563222104,30.711490149545437,76.80063329144943,30.711490149545437,76.80063329144943,1960.0,3647.0,-90,0.01707635261118412,12.199797610326504,12.199797610326504
/home/utkarsh/TreeInventorization/data/views/ZhFIQ0X2ExZk-QZedpEOHw_view11_tree0_box0.jpg,ZhFIQ0X2ExZk-QZedpEOHw,30.71138386689704,76.80060563222104,30.71130195965663,76.80061360088919,30.71130195965663,76.80061360088919,7989.0,3801.0,75,0.011776876635849476,9.348827277346395,9.348827277346395
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view4_tree0_box0.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.71150654360506,76.8002734585706,30.71150654360506,76.8002734585706,3894.0,3862.0,-30,0.011180107481777668,7.697996957389154,7.697996957389154
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view6_tree0_box2.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.711563505169664,76.8003304914436,30.711563505169664,76.8003304914436,7180.0,4454.0,0,0.010803492739796638,4.525513502168239,4.525513502168239
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view10_tree0_box0.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.711636165037664,76.80040057634572,30.711636165037664,76.80040057634572,8901.0,3774.0,60,0.012535130605101585,13.062439119402132,13.062439119402132
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view11_tree0_box0.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.71163919851577,76.80038321183726,30.71163919851577,76.80038321183726,8620.0,3772.0,75,0.011238094419240952,12.792398947147104,12.792398947147104
/home/utkarsh/TreeInventorization/data/views/6YbSOJYq_bGE0E83-JFA2A_view0_tree0_box2.jpg,6YbSOJYq_bGE0E83-JFA2A,30.71131375446979,76.80056971925278,30.71127407446932,76.80051543469776,30.71127407446932,76.80051543469776,3193.0,3898.0,-90,0.01161845214664936,7.111690104839458,7.111690104839458
/home/utkarsh/TreeInventorization/data/views/6YbSOJYq_bGE0E83-JFA2A_view5_tree0_box0.jpg,6YbSOJYq_bGE0E83-JFA2A,30.71131375446979,76.80056971925278,30.711345019744375,76.80043674062607,30.711345019744375,76.80043674062607,5232.0,3605.0,-15,0.016812724992632866,13.361549500878962,13.361549500878962
