image_path,pano_id,stview_lat,stview_lng,tree_lat_model,tree_lng_model,tree_lat,tree_lng,image_x,image_y,theta,conf,distance_model,distance_pano
/home/utkarsh/TreeInventorization/data/views/zXNDa-3To6LUVVwCusNXAg_view6_tree0_box0.jpg,zXNDa-3To6LUVVwCusNXAg,30.71139495991763,76.80048583426455,30.711414895201468,76.80042275211204,30.71141539788142,76.80042116145673,5505.0,3684.0,-45,0.3896639049053192,12.0401988573347,12.343800317489865
/home/utkarsh/TreeInventorization/data/views/zXNDa-3To6LUVVwCusNXAg_view15_tree0_box0.jpg,zXNDa-3To6LUVVwCusNXAg,30.71139495991763,76.80048583426455,30.71131922894291,76.80056415243753,30.71130099979407,76.80058300432337,9451.0,3714.0,90,0.8164848685264587,11.618153659087712,14.414751589995674
/home/utkarsh/TreeInventorization/data/views/zn_BsL9aEKPuJ-IlqPplxg_view6_tree0_box0.jpg,zn_BsL9aEKPuJ-IlqPplxg,30.71140140249116,76.80047896854423,30.711422728071646,76.80041666790726,30.71142511966188,76.80040968109866,5454.0,3674.0,-45,0.3090566098690033,11.632343950012396,12.93687440509113
/home/utkarsh/TreeInventorization/data/views/zn_BsL9aEKPuJ-IlqPplxg_view15_tree0_box0.jpg,zn_BsL9aEKPuJ-IlqPplxg,30.71140140249116,76.80047896854423,30.711337096446904,76.80054335373572,30.71131664314987,76.80056383218177,9601.0,3751.0,90,0.7790889143943787,9.581816563582418,12.629426580520171
/home/utkarsh/TreeInventorization/data/views/Eg2I2AlO8wExryXAspOx7g_view4_tree0_box0.jpg,Eg2I2AlO8wExryXAspOx7g,30.71145058697156,76.80052914110708,30.71142382819494,76.80060186760802,30.711430367965143,76.80058409346846,3120.0,3978.0,-75,0.3406117558479309,7.605880616367974,5.747025885535727
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view5_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.71146162976791,76.80038162881503,30.711461638307306,76.80038181043348,4763.0,4615.0,-60,0.8892801403999329,3.7227310219147736,3.702348643292249
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view11_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711445650885203,76.80041294330947,30.71143784656179,76.80041211691842,7499.0,4472.0,30,0.8528635501861572,3.2179503975722588,4.649878169005163
/home/utkarsh/TreeInventorization/data/views/v-3GWoqLUQnpNR7kA-qvsA_view4_tree0_box0.jpg,v-3GWoqLUQnpNR7kA-qvsA,30.71146999469025,76.80040811076753,30.711472718020364,76.80037005298375,30.711472815188305,76.80036869508571,3157.0,4560.0,-75,0.8541738390922546,3.6652525644220217,3.7960284119433405
/home/utkarsh/TreeInventorization/data/views/v-3GWoqLUQnpNR7kA-qvsA_view9_tree0_box0.jpg,v-3GWoqLUQnpNR7kA-qvsA,30.71146999469025,76.80040811076753,30.71148169630623,76.80035775320901,30.711482309703953,76.80035511346739,5052.0,3948.0,0,0.819623589515686,6.983345376147906,7.349412367046482
/home/utkarsh/TreeInventorization/data/views/v-3GWoqLUQnpNR7kA-qvsA_view11_tree0_box0.jpg,v-3GWoqLUQnpNR7kA-qvsA,30.71146999469025,76.80040811076753,30.71144222010925,76.80041752600272,30.71143408356768,76.80042028418735,8833.0,4498.0,30,0.9017972350120544,3.585250269522787,4.6355468254876655
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view2_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.7114682204727,76.80055735611865,30.711474799439774,76.8005442661908,3857.0,3648.0,-105,0.7837693691253662,11.281963490127305,9.78602341079138
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view16_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.711550017059587,76.8004388357531,30.71156523704687,76.80042947116203,10594.0,4143.0,105,0.7995818257331848,4.18934463975344,6.170762636809411
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view3_tree0_box0.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.711532603259183,76.80031094305072,30.711532801059942,76.80030675277798,1810.0,4362.0,-90,0.9128251075744629,4.0529119666463,4.546484092444452
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view13_tree0_box1.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.711504677900447,76.80035424175739,30.71149466264105,76.8003576272887,9078.0,4546.0,60,0.30718478560447693,3.2402879775185895,4.474163667347007
/home/utkarsh/TreeInventorization/data/views/8h66zVx2-2r22a89uSXHIw_view18_tree0_box0.jpg,8h66zVx2-2r22a89uSXHIw,30.71153097903614,76.80034535098882,30.71150119027418,76.80035318891984,30.711497111526818,76.8003542621074,11166.0,4601.0,135,0.34334173798561096,3.7652065276650637,4.280747304427005
/home/utkarsh/TreeInventorization/data/views/5NToDcRXBY-InRG10VFIqg_view0_tree0_box0.jpg,5NToDcRXBY-InRG10VFIqg,30.71153460312751,76.80044578422401,30.7115178874929,76.80050579504031,30.711521043733537,76.80049446382704,747.0,3632.0,-135,0.9357510805130005,16.3769949040167,13.28470420384172
