image_path,pano_id,stview_lat,stview_lng,tree_lat_1,tree_lng_1,tree_lat,tree_lng,image_x,image_y,theta,conf,distance_model,distance_pano
/home/utkarsh/TreeInventorization/data/views/6YbSOJYq_bGE0E83-JFA2A_view12_tree0_box0.jpg,6YbSOJYq_bGE0E83-JFA2A,30.71131375446979,76.80056971925278,30.711235022536677,76.80065532761826,30.711198830486435,76.80069468060856,7993.0,3517.0,45,0.6973136067390442,20.130815229441883,29.38471982265964
/home/utkarsh/TreeInventorization/data/views/_5fPBcSToSPbC-LTMClCAg_view6_tree0_box0.jpg,_5fPBcSToSPbC-LTMClCAg,30.71132054161633,76.80056285353707,30.71135732737781,76.80047297042297,30.71135186232144,76.80048632387249,6021.0,3457.0,-45,0.3256241083145141,31.571945567121546,26.88145456434456
/home/utkarsh/TreeInventorization/data/views/el6EE2Xm8cetP4dFOdmN4A_view0_tree0_box0.jpg,el6EE2Xm8cetP4dFOdmN4A,30.71139133860426,76.80059955870507,30.71134917235827,76.80069476851979,30.711356574945764,76.80067805377033,884.0,3526.0,-135,0.7674672603607178,24.679869463878248,20.347156617089446
/home/utkarsh/TreeInventorization/data/views/zXNDa-3To6LUVVwCusNXAg_view15_tree0_box0.jpg,zXNDa-3To6LUVVwCusNXAg,30.71139495991763,76.80048583426455,30.71131922894291,76.80056415243753,30.71130099979407,76.80058300432337,9451.0,3714.0,90,0.8164848685264587,11.618153659087712,14.414751589995674
/home/utkarsh/TreeInventorization/data/views/Eg2I2AlO8wExryXAspOx7g_view4_tree0_box0.jpg,Eg2I2AlO8wExryXAspOx7g,30.71145058697156,76.80052914110708,30.71142382819494,76.80060186760802,30.711430367965143,76.80058409346846,3120.0,3978.0,-75,0.3406117558479309,7.605880616367974,5.747025885535727
/home/utkarsh/TreeInventorization/data/views/8DhwkOKHgXmEsbl-SgY9EA_view6_tree0_box0.jpg,8DhwkOKHgXmEsbl-SgY9EA,30.71145775482431,76.80052597231422,30.711394220758105,76.8006314116794,30.711398493158,76.80062432133228,5935.0,3408.0,-45,0.3637650907039642,36.68775370475037,34.220644943391626
/home/utkarsh/TreeInventorization/data/views/8DhwkOKHgXmEsbl-SgY9EA_view15_tree0_box0.jpg,8DhwkOKHgXmEsbl-SgY9EA,30.71145775482431,76.80052597231422,30.71169583829339,76.80022483098041,30.71163863500347,76.80029718512861,9994.0,3371.0,90,0.7494400143623352,39.10269749949703,29.70765035321149
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view5_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.71146162976791,76.80038162881503,30.711461638307306,76.80038181043348,4763.0,4615.0,-60,0.8892906308174133,3.7227310219147727,3.702348643292249
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view18_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711335572899923,76.80057246508342,30.711198352880164,76.80074199366678,11008.0,3475.0,135,0.8708277344703674,23.34577159793044,48.44824609605577
/home/utkarsh/TreeInventorization/data/views/v-3GWoqLUQnpNR7kA-qvsA_view11_tree0_box0.jpg,v-3GWoqLUQnpNR7kA-qvsA,30.71146999469025,76.80040811076753,30.71144222010925,76.80041752600272,30.71143408356768,76.80042028418735,8833.0,4498.0,30,0.9018034338951112,3.585250269522788,4.6355468254876655
/home/utkarsh/TreeInventorization/data/views/v-3GWoqLUQnpNR7kA-qvsA_view15_tree0_box0.jpg,v-3GWoqLUQnpNR7kA-qvsA,30.71146999469025,76.80040811076753,30.711273165926464,76.80066453310128,30.711136648595325,76.80084238258569,11165.0,3424.0,90,0.2876053750514984,38.6785892898636,65.50524467513004
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view0_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.71150156941614,76.80051951899877,30.711505217140125,76.80050586709254,627.0,3580.0,-135,0.9491708874702454,19.543892745678694,15.161579013456308
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view2_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.7114682204727,76.80055735611865,30.71147479943977,76.8005442661908,3857.0,3648.0,-105,0.7837609648704529,11.281963490127303,9.78602341079138
/home/utkarsh/TreeInventorization/data/views/cmUP5d3DEN-if8FPYf_hvA_view2_tree0_box0.jpg,cmUP5d3DEN-if8FPYf_hvA,30.71153759386869,76.80033848526077,30.711536417426228,76.80031620602533,30.711535790583618,76.80030433503373,1451.0,4427.0,-105,0.9741609692573548,2.8838152402797554,4.420390913687606
/home/utkarsh/TreeInventorization/data/views/hlkMNdzwvxFIRVw-FpqAPw_view3_tree0_box0.jpg,hlkMNdzwvxFIRVw-FpqAPw,30.71158385401806,76.80039288294195,30.711549716383196,76.80047993938881,30.711553735495382,76.8004696900187,3918.0,3784.0,-90,0.9527275562286376,9.504991373701216,8.38594456664651
/home/utkarsh/TreeInventorization/data/views/hlkMNdzwvxFIRVw-FpqAPw_view15_tree0_box0.jpg,hlkMNdzwvxFIRVw-FpqAPw,30.71158385401806,76.80039288294195,30.71161830013268,76.8003802354116,30.71161691667321,76.8003807433746,10461.0,4602.0,90,0.960552215576172,4.078884401319323,3.9150641614243007
