id,pano_id,lat,lon,elevation,date,gvi,svf,within
58733,A62MqJ-87e7kzDwHYsUcMQ,30.71128074,76.80162096,357.4367981,2022-07,15.13671875,36.01074219,True
58735,lA6is7K0oaeJ6JWuRyssNw,30.71122413,76.80152634,357.4453735,2022-07,18.72558594,32.71484375,True
58736,0HYGfPxnnNLzsQJh-zbz4Q,30.71108879,76.80165335,357.6517944,2022-07,14.44091797,36.03515625,True
58855,REK5tgEvgPKmIGQXRSDHaQ,30.71116667,76.8014267,357.4585876,2022-07,19.11010742,32.58666992,True
58856,XH4ktkm2wqTYLlE3wYRkIA,30.7110265,76.80155451,357.5650024,2022-07,13.7878418,37.13989258,True
58874,3HV3aZObH3rzW0BcKuPhYw,30.7111136,76.80133375,357.4744568,2022-07,21.25244141,30.91430664,True
58875,gXR65PdIpFgLwg3_4iBmhQ,30.71096993,76.80146437,357.4749451,2022-07,10.69946289,39.91699219,True
58883,YECtkcM32l4nvWtPI7wNVA,30.71106903,76.8012364,357.4354553,2022-07,13.97094727,37.3840332,True
58884,GUVjalhWKYnzXK5r91AIsA,30.71091653,76.80138251,357.4295349,2022-07,10.51025391,40.21606445,True
58885,gnXKhmrFNqfmSu7GiGH7vg,30.7109985,76.80122821,357.4617615,2022-07,10.42480469,40.96679688,True
58886,PyN7HQxj0vhbs80TEIQsLg,30.7110644,76.80109186,357.3451233,2022-07,39.41040039,13.01269531,True
58887,KPZsndY6zinHyYjZ5r2lwg,30.71085564,76.80129062,357.4032593,2022-07,10.60180664,40.64331055,True
58888,m_ItgXsla4i17ycQzjEE6Q,30.71091546,76.80115462,357.487915,2022-07,9.08203125,41.71142578,True
59007,ZrMtlu9Dk7FdrU4J0_NtJw,30.71109657,76.80100279,357.3517761,2022-07,19.81811523,31.22558594,True
59008,UwCUmA1jeIN5NfdVMMs3cA,30.71114871,76.80091353,357.328186,2022-07,24.84130859,34.9609375,True
59009,xu8dumghPqnSNnU7svcScQ,30.7108022,76.80120744,357.294342,2022-07,10.99243164,40.47851563,True
59010,c68rM01kd9LHTqi-mvN1gQ,30.71087011,76.80107558,357.4206543,2022-07,9.991455078,41.62597656,True
59019,IPXr_0ykqIyE1ixZDBGIPQ,30.71072427,76.80108562,357.3982544,2022-07,10.91308594,40.44799805,True
59020,3ooV2EtekO2CRH8twxOiqw,30.71102478,76.80086442,357.3943176,2022-07,19.10400391,31.00585938,True
59021,gXBAuC4TB9oQ44_0umA8hA,30.71091815,76.80097999,357.4423523,2022-07,11.07177734,39.9230957,True
59022,UCSp9nyqrxqas4fy1et39g,30.71077366,76.80107004,357.5979309,2022-07,16.43066406,34.72290039,True
59023,WEdMrTpPaZjky7K2XmQrzw,30.71083279,76.80100094,357.4412537,2022-06,10.33935547,40.69824219,True
59024,gibxbABf3-8uErORCXgFMA,30.71097189,76.80091793,357.4143066,2022-07,14.72167969,36.30371094,True
59036,BtdinYSuK0S68OAEJwL5mQ,30.71075058,76.80095041,357.4422913,2022-07,18.8293457,32.95898438,True
59037,hGvk6zZigtfOLGbVq9IErg,30.71106131,76.80120242,357.4060059,2022-07,15.69824219,35.90087891,True
59038,vUDeuCiJO7P40nWV5kk5qg,30.7106686,76.80099751,357.3697205,2022-07,11.70654297,39.38598633,True
59039,4xNqVUxT-fCeeXRoOdhp_Q,30.71068968,76.80085253,357.4261475,2022-07,18.73779297,32.73925781,True
59044,muiwsFBfLlfCdlWuSmxNAQ,30.71062932,76.80087207,357.4038391,2022-07,15.02685547,37.12768555,True
59045,Xv7VQP7vfw3aLrItytP15Q,30.71090453,76.80100164,357.3440552,2022-07,10.00976563,41.11328125,True
59046,NzNQ5RH7eVFFGtyT3qm5zQ,30.71063431,76.80076574,357.4098511,2022-07,19.03686523,32.60498047,True
59177,AGSsE5pShD8IvXa3FmVWnA,30.71057546,76.80078652,357.3449707,2022-07,20.25146484,33.92944336,True
59178,ah_knMs0GfwL0U0qcWjQmw,30.71077825,76.80117064,357.296875,2022-07,10.36987305,40.83862305,True
59179,1wuZ6aU0HLfvtiIU4viiWQ,30.71059052,76.80069603,357.4049988,2022-07,23.91357422,28.0456543,True
59193,qjf_W50ldF4PcXZQmSdzHw,30.71051974,76.80069876,357.2789001,2022-07,38.88549805,13.48876953,True
59194,J_gnaLtlalOlMhx1GxDKqA,30.710874,76.80104477,357.4783325,2022-07,9.094238281,41.67480469,True
59206,UyUBfwp6Zrxwk_1Eq3VSYw,30.71068285,76.8009586,357.4906921,2022-07,14.2578125,36.9934082,True
59207,65JZAE1XN2mah-sdTv1_-A,30.71046582,76.80061267,357.2280884,2022-07,35.40649414,18.13354492,True
59208,U0j-o1GSdExmAxx8x-V-Tw,30.71053535,76.80060616,357.4015198,2022-07,40.46020508,12.46948242,True
59209,QE0N58PVoNctEZKS3Sb3zA,30.71048434,76.80052069,357.3680725,2022-07,43.07861328,9.954833984,True
59217,YyzQkEgTOCSJ6xJSEFZxrw,30.71058712,76.80069066,357.4035034,2022-07,24.18823242,27.72216797,True
59218,Oii3ULfgm1biGp1RsWENAQ,30.71072284,76.80111765,357.2294312,2022-06,13.37890625,39.7277832,True
91884,-rk-Le2IvLcwLn8844YgUw,30.71109152815384,76.80079320689435,357.3771667480469,2022-07,16.63818359375,33.013916015625,True
92004,NlaaNYigulFdmljPknG6ew,30.71402153568031,76.79882590333386,355.8634338378906,2022-07,30.84716796875,20.86181640625,True
92009,MHZQm3qlShiZuTlpr0A8QA,30.71399442107842,76.79872071553503,356.1413879394531,2022-07,39.5751953125,11.968994140625,True
97321,VobOrKbk0dF9bb1R-5n9Cw,30.71700167978978,76.79575887235474,357.7992553710938,2022-07,19.537353515625,30.89599609375,True
97326,s2aa1cPEJa32CBqPrKHFAg,30.71668919990323,76.79612021606235,358.2711181640625,2022-07,28.143310546875,22.36328125,True
97327,2XRkFG4mqpQrJ23fNGWLHg,30.71675957883254,76.79601326547605,358.3203125,2022-07,34.478759765625,16.00341796875,True
97328,V8fqW-jl6Yo0I3OmIlpjEQ,30.71662592900942,76.79603615202898,358.3157653808594,2022-07,20.062255859375,31.73828125,True
97329,PkqZsfehduktnql7Zce9hQ,30.71671620020038,76.79591326879547,358.30419921875,2022-07,20.135498046875,30.743408203125,True
97330,_P5SkdP-sPlNRNn2c8Hnog,30.71694036276343,76.79567788896846,357.5470275878906,2022-07,30.767822265625,20.8984375,True
97331,ozRll3Sy-7ZEy2x04CEtFg,30.71655794806882,76.79596238689331,358.3400573730469,2022-07,16.229248046875,35.443115234375,True
97332,XIa_OiLpJik2pwrhQ87qzw,30.71667955371845,76.79581591279525,358.3466491699219,2022-07,17.022705078125,36.517333984375,True
97333,bjaPQTuAsjG9T0HSH_VEaA,30.71665257696896,76.79571794054108,358.4429321289062,2022-07,25.189208984375,28.131103515625,True
97411,87nUyHbPNYpGf2AYxs2nIg,30.71649096512477,76.79574866140894,357.972900390625,2022-07,15.972900390625,37.63427734375,True
97412,iRMu41mPdiH2OxwO81bKuA,30.71656446406132,76.79568537113136,358.3102722167969,2022-07,20.86181640625,32.12890625,True
97413,2aM1aCXnCqzKyGEAqUltWA,30.71647628974993,76.79589214272592,358.3396606445312,2022-07,20.135498046875,31.939697265625,True
97414,WY4iB7dM6_7wD0rHb0YqzQ,30.71659635054112,76.79562533776465,358.3037109375,2022-07,23.028564453125,31.9091796875,True
97415,N0pKjGtSmmYg9tfWG2q_0w,30.71662149459894,76.79552745338627,358.0428161621094,2022-07,35.92529296875,20.41015625,True
97420,PrfmHBi6a0BiJX4wUk97Eg,30.71674327845723,76.7950433118956,358.4966735839844,2022-07,34.710693359375,15.362548828125,True
97422,7LcWdNe4AzNGwTtjgHSQ0A,30.71640345697603,76.79578466379172,358.240966796875,2022-07,14.849853515625,40.289306640625,True
